email_text,category,clean_email_text
"Hi, Could you please guide me on how to update my personal bank account details in the HR system for salary credit purposes? Thanks!",HR,hi could you please guide me on how to update my personal bank account details in the hr system for salary credit purposes thanks
"Dear Team, I was wondering if there are any updates on the upcoming corporate event, including the venue, agenda, and transportation arrangements for employees. Please help.",Other,dear team i was wondering if there are any updates on the upcoming corporate event including the venue agenda and transportation arrangements for employees please help
"As part of my relocation, I need a formal employment verification letter for housing approval—can you assist with this? Thanks!",HR,as part of my relocation i need a formal employment verification letter for housing approvalcan you assist with this thanks
"Dear Team, I'm experiencing persistent issues with my work laptop, including frequent crashes and system slowdowns, which is impacting my productivity significantly.",IT,dear team im experiencing persistent issues with my work laptop including frequent crashes and system slowdowns which is impacting my productivity significantly
"Hi, I was wondering if there are any updates on the upcoming corporate event, including the venue, agenda, and transportation arrangements for employees.",Other,hi i was wondering if there are any updates on the upcoming corporate event including the venue agenda and transportation arrangements for employees
"Hey, We’d like to propose rearranging the seating plan in our department to improve collaboration—what’s the process to request this? Thanks!",Other,hey wed like to propose rearranging the seating plan in our department to improve collaborationwhats the process to request this thanks
"Hello, I'm experiencing persistent issues with my work laptop, including frequent crashes and system slowdowns, which is impacting my productivity significantly. Thanks!",IT,hello im experiencing persistent issues with my work laptop including frequent crashes and system slowdowns which is impacting my productivity significantly thanks
"Will the cafeteria be serving a special menu this Friday as part of the festive celebration? If so, could we get a preview or the menu in advance? Thanks!",Other,will the cafeteria be serving a special menu this friday as part of the festive celebration if so could we get a preview or the menu in advance thanks
"Hi, Several employees have noticed that the air conditioning on the second floor isn’t working properly—can this be looked into? Thanks!",Other,hi several employees have noticed that the air conditioning on the second floor isnt working properlycan this be looked into thanks
"Dear Team, As part of my relocation, I need a formal employment verification letter for housing approval—can you assist with this? Looking forward to your reply.",HR,dear team as part of my relocation i need a formal employment verification letter for housing approvalcan you assist with this looking forward to your reply
"Hey, I would like to request some time off next month for personal reasons, and I want to know the process for applying leave and getting it approved.",HR,hey i would like to request some time off next month for personal reasons and i want to know the process for applying leave and getting it approved
"Dear Team, I'm having trouble understanding the appraisal criteria this year and would like to schedule a one-on-one discussion with my HR representative. Thanks!",HR,dear team im having trouble understanding the appraisal criteria this year and would like to schedule a oneonone discussion with my hr representative thanks
"Hello, I was wondering if there are any updates on the upcoming corporate event, including the venue, agenda, and transportation arrangements for employees. Looking forward to your reply.",Other,hello i was wondering if there are any updates on the upcoming corporate event including the venue agenda and transportation arrangements for employees looking forward to your reply
"Hi, Several employees have noticed that the air conditioning on the second floor isn’t working properly—can this be looked into? Looking forward to your reply.",Other,hi several employees have noticed that the air conditioning on the second floor isnt working properlycan this be looked into looking forward to your reply
Can someone explain the recent changes in the company’s performance evaluation process and how they affect annual bonuses? Please help.,HR,can someone explain the recent changes in the companys performance evaluation process and how they affect annual bonuses please help
"I would like to request some time off next month for personal reasons, and I want to know the process for applying leave and getting it approved. Appreciate your support.",HR,i would like to request some time off next month for personal reasons and i want to know the process for applying leave and getting it approved appreciate your support
"I'm experiencing persistent issues with my work laptop, including frequent crashes and system slowdowns, which is impacting my productivity significantly. Appreciate your support.",IT,im experiencing persistent issues with my work laptop including frequent crashes and system slowdowns which is impacting my productivity significantly appreciate your support
"Hi, I'm experiencing persistent issues with my work laptop, including frequent crashes and system slowdowns, which is impacting my productivity significantly. Thanks!",IT,hi im experiencing persistent issues with my work laptop including frequent crashes and system slowdowns which is impacting my productivity significantly thanks
"Hey, Is there a plan to upgrade the coffee machines on each floor? The current ones are often out of order and cause inconvenience during breaks.",Other,hey is there a plan to upgrade the coffee machines on each floor the current ones are often out of order and cause inconvenience during breaks
"Dear Team, Is there a plan to upgrade the coffee machines on each floor? The current ones are often out of order and cause inconvenience during breaks. Appreciate your support.",Other,dear team is there a plan to upgrade the coffee machines on each floor the current ones are often out of order and cause inconvenience during breaks appreciate your support
